Team,Number,Name,First,Last,Position,Ht,Wt,Age,Bday,EXP,College,Salary,Birth City,Birth State,Race,HS,HS City,HS State,Pro Bowler,Champ,# of teams,Heisman
Raiders,28,"Murray, Latavius",Latavius,Murray,RB,75,225,24,1/18/90,2,Central Florida,566550,"Nedrow, NY",New York,Black,"Central (Onondaga, NY)","Onondaga, NY",New York,0,NO,1,NO
Bears,72,"Leno, Charles",Charles,Leno,T,75,302,22,10/1/91,0,Boise State,566628,"Oakland, CA",California,Black,San Leandro,"San Leandro, CA",California,0,NO,1,NO
49ers,54,"Moody, Nick",Nick,Moody,LB,73,236,24,1/29/90,2,Florida State,566918,"Wyncote, PA",Pennsylvania,Black,Roman Catholic,"Philadelphia, PA",Pennsylvania,0,NO,1,NO
Broncos,47,"Nelson, Corey",Corey,Nelson,LB,72,231,22,4/22/92,0,Oklahoma,567150,"Dallas, TX",Texas,Black,"Skyline (Dallas, TX)","Dallas, TX",Texas,0,NO,1,NO
Falcons,94,"Massaquoi, Jonathan",Jonathan,Massaquoi,DE,74,264,26,5/18/88,3,Troy,567215,"Lawrenceville, GA",Georgia,Black,Central Gwinnett,"Lawrenceville, GA",Georgia,0,NO,1,NO
Bengals,86,"Wright, James",James,Wright,WR,73,201,22,12/31/91,0,Louisiana State,567456,"Belle Chasse, LA",Louisiana,Black,Belle Chasse,"Belle Chasse, LA",Louisiana,0,NO,1,NO
Bills,66,"Henderson, Seantrel",Seantrel,Henderson,T,79,331,22,1/21/92,0,Miami (FL),567720,"St. Paul, MN",Minnesota,Black,Cretin-Derham Hall,"St. Paul, MN",Minnesota,0,NO,1,NO
Packers,83,"Janis, Jeff",Jeff,Janis,WR,75,219,23,6/9/91,0,Saginaw Valley State,567848,"Tawas City, MI",Michigan,White,Tawas,"Tawas City, MI",Michigan,0,NO,1,NO
Raiders,75,"Harris, Shelby",Shelby,Harris,DE,74,288,23,8/11/91,0,Illinois St.,568403,"Mequon, WI",Wisconsin,Black,"Homestead (Mequon, WI)","Mequon, WI",Wisconsin,0,NO,1,NO
Rams,75,"Person, Mike",Mike,Person,T,76,299,26,6/17/88,4,Montana State,568633,"Glendive, MT",Montana,White,Dawson Co.,"Glendive, MT",Montana,0,NO,4,NO
Rams,4,"Zuerlein, Greg",Greg,Zuerlein,K,72,196,26,12/27/87,3,Missouri Western State,568868,"Lincoln, NE",Nebraska,White,Pius X,"Lincoln, NE",Nebraska,0,NO,1,NO
Dolphins,78,"Fede, Terrence",Terrence,Fede,DE,76,282,22,11/19/91,0,Marist,568988,"Nyack, NY",New York,Black,Nyack,"Nyack, NY",New York,0,NO,1,NO
Saints,24,"White, Corey",Corey,White,CB,73,205,24,5/9/90,3,Samford,569125,"Dunwoody, GA",Georgia,Black,Dunwoody,"Dunwoody, GA",Georgia,0,NO,1,NO
Jets,49,"Reilly, Trevor",Trevor,Reilly,LB,77,225,26,1/17/88,0,Utah,569212,"Valley Center, CA",California,White,Valley Center,"Valley Center, CA",California,0,NO,1,NO
Lions,3,"Freese, Nate",Nate,Freese,K,71,191,24,8/18/90,0,Boston College,569856,"Strongsvile, OH",Ohio,White,Strongsville,"Strongsvile, OH",Ohio,0,NO,1,NO
Jaguars,45,"Ta'ufo'ou, Will",Will,Ta'ufo'ou,FB,71,247,28,6/19/86,3,California,570000,"Redwood City, CA",California,Asian/Pacific Islander,Saint Francis,"Mountain View, CA",California,0,NO,5,NO
Lions,12,"Ross, Jeremy",Jeremy,Ross,WR,72,215,26,3/16/88,2,California,570000,"San Diego, CA",California,Black,Laguna Creek,"Laguna Creek, CA",California,0,NO,4,NO
Texans,54,"Mohamed, Mike",Mike,Mohamed,LB,75,238,26,3/11/88,3,California,570000,"Brawley, CA",California,White,Brawley,"Brawley, CA",California,0,NO,4,NO
Saints,79,"Harris, Bryce",Bryce,Harris,T,78,300,25,1/16/89,3,Fresno State,570000,"Bakersfield, CA",California,White,Tulare Union,"Tulare, CA",California,0,NO,2,NO
Raiders,49,"Olawale, Jamize",Jamize,Olawale,FB,73,240,25,4/17/89,2,North Texas,570000,"San Francisco, CA",California,Black,Long Beach Polytechnic,"Long Beach, CA",California,0,NO,2,NO
Redskins,35,"Ihenacho, Duke",Duke,Ihenacho,S,73,207,25,6/16/89,2,San Jose State,570000,"Torrance, CA",California,Black,Junipero Serra,"Gardena, CA",California,0,NO,2,NO
Bills,38,"Summers, Frank",Frank,Summers,FB,69,248,29,9/6/85,2,UNLV,570000,"Oakland, CA",California,Black,"Skyline (Oakland, CA)","Oakland, CA",California,0,NO,3,NO
Vikings,44,"Asiata, Matt",Matt,Asiata,RB,72,234,27,7/24/87,3,Utah,570000,"Garden Grove, CA",California,Asian/Pacific Islander,Hunter,"West Valley, UT",Utah,0,NO,1,NO
Buccaneers,26,"Pointer, Quinton",Quinton,Pointer,CB,69,194,26,4/16/88,3,Nevada-Las Vegas,570000,"Fort Myers, FL",Florida,Black,Mariner,"Cape Coral, FL",Florida,0,NO,2,NO
Dolphins,56,"Freeny, Jonathan",Jonathan,Freeny,LB,74,254,25,6/15/89,3,Rutgers,570000,"Margate, FL",Florida,Black,Coconut Creek,"Coconut Creek, FL",Florida,0,NO,1,NO
Redskins,73R,"Kearse, Frank",Frank,Kearse,DE,77,310,25,10/28/88,3,Alabama A&M,570000,"Savannah, GA",Georgia,Black,Savannah,"Savanna, GA",Georgia,0,NO,5,NO
Rams,9,"Davis, Austin",Austin,Davis,QB,74,221,25,6/2/89,2,Southern Mississippi,570000,"Ringgold, GA",Georgia,White,West Lauderdale,"Collinsville, MS",Mississippi,0,NO,2,NO
Buccaneers,43,"Rainey, Bobby",Bobby,Rainey,RB,68,212,26,10/16/87,3,Western Kentucky,570000,"Griffin, GA",Georgia,Black,Griffin,"Griffin, GA",Georgia,0,NO,3,NO
49ers,57,"Wilhoite, Michael",Michael,Wilhoite,LB,72,240,27,12/7/86,3,Washburn,570000,"Manhattan, KS",Kansas,Black,"Highland Park (Topeka, KS)","Topeka, KS",Kansas,0,NO,1,NO
Vikings,57,"Cole, Audie",Audie,Cole,LB,77,239,25,6/1/89,3,North Carolina State,570000,"Ypsilanti, MI",Michigan,White,Monroe Public Schools,"Monroe, MI",Michigan,0,NO,1,NO
Rams,61,"Barnes, Tim",Tim,Barnes,C,76,306,26,5/14/88,3,Missouri,570000,"Marshall, MO",Missouri,White,Pettis Co. Northwest,"Hughesville, MO",Missouri,0,NO,2,NO
Bears,38,"Draughn, Shaun",Shaun,Draughn,RB,72,205,26,12/7/87,2,North Carolina,570000,"Tarboro, NC",North Carolina,Black,Tarboro,"Tarboro, NC",North Carolina,0,NO,5,NO
49ers,,"Nelson, Kyle",Kyle,Nelson,TE,74,240,27,10/3/86,2,New Mexico State,570000,"Norman, OK",Oklahoma,White,Tulsa,"Tulsa, OK",Oklahoma,0,NO,7,NO
Jaguars,67,"Pasztor, Austin",Austin,Pasztor,G,79,308,23,11/26/90,2,Virginia,570000,"Langton, Ontario",Ontario,White,Glendale,"Tillsonburg, ON",Canada,0,NO,2,NO
Browns,53,"Robertson, Craig",Craig,Robertson,LB,73,234,26,2/11/88,3,North Texas,570000,"Stafford, TX",Texas,Black,"Stafford (Stafford, TX)","Stafford, TX",Texas,0,NO,1,NO
Redskins,15,"Robinson, Aldrick",Aldrick,Robinson,WR,70,184,26,9/24/88,3,Southern Methodist,570000,"Dallas, TX",Texas,Black,Waxahachie,"Waxahachie, TX",Texas,0,NO,1,NO
Giants,61,"Reynolds, Dallas",Dallas,Reynolds,C,76,320,30,4/23/84,3,BYU,570000,"Salt Lake City, UT",Utah,White,Timpview,"Provo, UT",Utah,0,NO,2,NO
Dolphins,33,"Ross, Brandian",Brandian,Ross,S,73,190,25,9/28/89,3,Youngstown State,570000,"Richmond, VA",Virginia,Black,Meadowbrook,"North Chesterfield, VA",Virginia,0,NO,3,NO
Cardinals,66,"Ta'amu, Alameda",Alameda,Ta'amu,DT,75,348,24,8/23/90,3,Washington,570000,"Kent, WA",Washington,Asian/Pacific Islander,Rainier Beach,"Seattle, WA",Washington,0,NO,2,NO
Vikings,39,"Price, Jabari",Jabari,Price,CB,71,200,22,8/31/92,0,North Carolina,570455,"Pompano Beach, FL",Florida,Black,Ely,"Pompano Beach, FL",Florida,0,NO,1,NO
Eagles,94,"Allen, Beau",Beau,Allen,DT,74,333,22,11/14/91,0,Wisconsin,570562,"Minnetonka, MN",Minnesota,White,Minnetonka,"Minnetonka, MN",Minnesota,0,NO,1,NO
Vikings,58,"Watts, Brandon",Brandon,Watts,LB,74,231,23,1/21/91,0,Georgia Tech,570612,"Tennille, GA",Georgia,Black,Washington County,"Sandersville, GA",Georgia,0,NO,1,NO
Jaguars,34,"Johnson, Storm",Storm,Johnson,RB,72,215,22,7/10/92,0,UCF,570682,"Loganville, GA",Georgia,Black,Loganville,"Loganville, GA",Georgia,0,NO,1,NO
Bills,93,"Johnson, Randell",Randell,Johnson,LB,76,245,23,3/23/91,0,Florida Atlantic,570933,"Miami, FL",Florida,Black,"North (Miami, FL)","Miami, FL",Florida,0,NO,1,NO
Vikings,93,"Stephen, Shamar",Shamar,Stephen,DT,77,310,23,2/25/91,0,UCONN,571287,"Brookville, NY",New York,Black,Long Island Lutheran,"Brookville, NY",New York,0,NO,1,NO
Raiders,38,"Carrie, TJ",TJ,Carrie,CB,72,204,24,6/28/90,0,Ohio,571741,"Antioch, CA",California,Black,De La Salle,"Concord, CA",California,0,NO,1,NO
Ravens,6,"Campanaro, Michael",Michael,Campanaro,WR,69,185,23,1/25/91,0,Wake Forest,571875,"Silver Spring, MD",Maryland,Hispanic,River Hill,"Clarksville, MD",Maryland,0,NO,1,NO
Eagles,67,"Kelly, Dennis",Dennis,Kelly,T,80,321,24,1/16/90,3,Purdue,572200,"Chicago Heights, IL",Illinois,White,Marian Catholic,"Chicago, IL",Illinois,0,NO,1,NO
Jaguars,26,"Evans, Josh",Josh,Evans,S,72,205,23,6/5/91,2,Florida,572205,"Irvington, NJ",New Jersey,Black,"Irvington (Irvington, NJ)","Irvington, NJ",New Jersey,0,NO,1,NO
Texans,38,"Hal, Andre",Andre,Hal,CB,70,188,22,5/30/92,0,Vanderbilt,572281,"Port Allen, LA",Louisiana,Black,Port Allen,"Port Allen, LA",Louisiana,0,NO,1,NO
Chargers,63,"Troutman, Johnnie",Johnnie,Troutman,G,76,330,26,11/11/87,2,Penn State,572938,"Trenton, NJ",New Jersey,Black,Pemberton Township,"Pemberton, NJ",New Jersey,0,NO,1,NO
Titans,84,"Thompson, Taylor",Taylor,Thompson,TE,78,268,24,10/19/89,3,Southern Methodist,574500,"Plano, TX",Texas,White,Prosper,"Prosper, TX",Texas,0,NO,1,NO
Bills,85,"Smith, Lee",Lee,Smith,TE,78,265,26,11/21/87,4,Marshall,574571,"Powell, TN",Tennessee,White,Powell,"Powell, TN",Tennessee,0,NO,2,NO
Texans,45,"Prosch, Jay",Jay,Prosch,FB,73,256,22,8/21/92,0,Auburn,574670,"Mobile, AL",Alabama,White,UMS Wright,"Mobile, AL",Alabama,0,NO,1,NO
Bengals,53,"Flowers, Marquis",Marquis,Flowers,LB,75,240,22,2/16/92,0,Arizona,574670,"Independence, MO",Missouri,Black,Millenium,"Goodyear, AZ",Arizona,0,NO,1,NO
Steelers,74,"McCullers, Daniel",Daniel,McCullers,NT,79,352,22,8/11/92,0,Tennessee,574670,"Raleigh, NC",North Carolina,Black,"Southeast (Raleigh, NC)","Raleigh, NC",North Carolina,0,NO,1,NO
Jets,51,"Enemkpali, Ikemefuna",Ikemefuna,Enemkpali,DE,73,272,23,7/3/91,0,Louisiana Tech,574670,"Pflugerville, TX",Texas,Black,Pflugerville,"Pflugerville, TX",Texas,0,NO,1,NO
Panthers,24,"Norman, Josh",Josh,Norman,CB,72,195,26,12/15/87,3,Coastal Carolina,574750,"Greenwood, SC",South Carolina,Black,Greenwood,"Greenwood, SC",South Carolina,0,NO,1,NO
Dolphins,9,"Sturgis, Caleb",Caleb,Sturgis,K,69,190,25,8/9/89,2,Florida,576140,"St. Augustine, FL",Florida,White,"St. Augustine (St. Augustine, FL)","St. Augustine, FL",Florida,0,NO,1,NO
Packers,93,"Boyd, Josh",Josh,Boyd,DT,75,310,25,8/3/89,2,Mississippi State,576140,"Philadelphia, MS",Mississippi,Black,Philadelphia,"Philadelphia, MS",Mississippi,0,NO,1,NO
Ravens,71,"Wagner, Rick",Rick,Wagner,T,78,310,24,10/21/89,2,Wisconsin,576140,"West Allis, WI",Wisconsin,White,Hale,"West Allis, WI",Wisconsin,0,NO,1,NO
Eagles,53,"Goode, Najee",Najee,Goode,LB,72,244,25,6/4/89,3,West Virginia,576725,"Cleveland, OH",Ohio,Black,Benedictine,"Cleveland, OH",Ohio,0,NO,2,NO
Chiefs,64,"Kush, Eric",Eric,Kush,C,76,313,25,9/9/89,0,California (PA),577529,"Bridgeville, PA",Pennsylvania,White,Chartiers Valley,"Pittsburg, PA",Pennsylvania,0,NO,1,NO
Vikings,36,"Blanton, Robert",Robert,Blanton,S,73,200,25,9/7/89,3,Notre Dame,577763,"Clackamas, OR",Oregon,Black,David W. Butler,"Matthews, NC",North Carolina,0,NO,1,NO
Lions,59,"Whitehead, Tahir",Tahir,Whitehead,LB,74,242,24,4/2/90,3,Temple,578000,"Jersey City, NJ",New Jersey,Black,West Side,"West Side, NJ",New Jersey,0,NO,1,NO
Broncos,97,"Jackson, Malik",Malik,Jackson,DE,77,293,24,1/11/90,3,Tennessee,578403,"Los Angeles, CA",California,Black,Birmingham,"Van Nuys, CA",California,0,NO,1,NO
Jaguars,70,"Bowanko, Luke",Luke,Bowanko,C,78,300,23,6/13/91,0,Virginia,578513,"Clifton, VA",Virginia,White,Centreville,"Clifton, VA",Virginia,0,NO,1,NO
Lions,6,"Martin, Sam",Sam,Martin,P,73,210,24,2/27/90,2,Appalachian State,580075,"Fayetteville, GA",Georgia,White,Starr's Mill,"Fayetteville, GA",Georgia,0,NO,1,NO
Patriots,71b,"Moore, Zach",Zach,Moore,DE,78,275,24,9/5/90,0,"Concordia (St. Paul, Minn)",580550,"Chicago, IL",Illinois,Black,Simeon Academy,"Chicago, IL",Illinois,0,NO,1,NO
Packers,39,"Goodson, Demetri",Demetri,Goodson,CB,71,197,25,6/11/89,0,Baylor,580788,"Charleston, WV",West Virginia,Black,Klein Collins,"Spring, TX",Texas,0,NO,1,NO
Bears,67,"Mills, Jordan",Jordan,Mills,T,77,316,23,12/24/90,2,Louisiana Tech,581200,"Thibodaux, LA",Louisiana,Black,Assumption,"Napoleonville, LA",Louisiana,0,NO,1,NO
Bears,16,"O'Donnell, Pat",Pat,O'Donnell,P,76,220,23,2/22/91,0,Miami (FL),581327,"Lake Worth, FL",Florida,White,Palm Beach Central,"Wellington, FL",Florida,0,NO,1,NO
Rams,33,"Gaines, E.J.",E.J.,Gaines,CB,70,190,22,2/23/92,0,Missouri,581918,"Independence, MO",Missouri,Black,Ft. Osage,"Independence, MO",Missouri,0,NO,1,NO
Buccaneers,14,"Herron, Robert",Robert,Herron,WR,69,193,22,6/2/92,0,Wyoming,583000,"Los Angeles, CA",California,Black,Dorsey,"Los Angeles, CA",California,0,NO,1,NO
Bears,12,"Fales, David",David,Fales,QB,73,228,23,10/4/90,0,San Jose State,583606,"Salinas, CA",California,White,Palma,"Salinas, CA",California,0,NO,1,NO
Vikings,32,"Exum Jr., Antone",Antone,Exum Jr.,S,72,219,23,2/27/91,0,Virginia Tech,583947,"Glen Allen, VA",Virginia,Black,Deep Run,"Glen Allen, VA",Virginia,0,NO,1,NO
Rams,30,"Stacy, Zac",Zac,Stacy,RB,68,224,23,4/9/91,2,Vanderbilt,584125,"Centreville, AL",Alabama,Black,Bibb County,"Centreville, AL",Alabama,0,NO,1,NO
Texans,44,"Blue, Alfred",Alfred,Blue,RB,74,222,23,4/27/91,0,LSU,584483,"Marrero, LA",Louisiana,Black,Hahnville,"Boutte, LA",Louisiana,0,NO,1,NO
Packers,33,"Hyde, Micah",Micah,Hyde,S,72,197,23,12/31/90,2,Iowa,584527,"Fostoria, OH",Ohio,White,Fostoria,"Fostoria, OH",Ohio,0,NO,1,NO
Patriots,61,"Cannon, Marcus",Marcus,Cannon,G,77,335,26,5/6/88,4,Texas Christian,584547,"Quanah, TX",Texas,Black,Odessa,"Odessa, TX",Texas,0,NO,1,NO
Seahawks,82,"Willson, Luke",Luke,Willson,TE,77,252,24,1/15/90,2,Rice,584633,"Windsor, Ontario",Ontario,White,St. Thomas of Villanova Catholic,"LaSalle, Ontario",Canada,0,1,1,NO
Packers,31,"House, Davon",Davon,House,CB,72,195,25,7/10/89,4,New Mexico State,585145,"Van Nuys, CA",California,Black,Palmdale,"Palmdale, CA",California,0,NO,1,NO
49ers,92,"Dial, Quinton",Quinton,Dial,DT,77,318,24,6/21/90,2,Alabama,585413,"Andalusia, AL",Alabama,Black,Clay-Chalkville,"Clay, AL",Alabama,0,NO,1,NO
Bengals,72,"Hawkinson, Tanner",Tanner,Hawkinson,T,77,300,24,5/14/90,2,Kansas,585606,"McPherson, KS",Kansas,White,McPherson,"McPherson, KS",Kansas,0,NO,1,NO
Vikings,18,"Locke, Jeff",Jeff,Locke,P,72,203,25,9/27/89,2,UCLA,586048,"Frankfurt, Germany",Germany,White,Mountain Ridge,"Glendale, AZ",Arizona,0,NO,1,NO
Titans,7,"Mettenberger, Zach",Zach,Mettenberger,QB,77,244,23,7/16/91,0,LSU,586279,"Watkinsville, GA",Georgia,White,Oconee County,"Watkinsville, GA",Georgia,0,NO,1,NO
Chiefs,76,"Duvernay-Tardif, Laurent",Laurent,Duvernay-Tardif,T,77,315,23,2/11/91,0,McGill (Canada),586325,"Mont-Saint-Hilaire, Quebec",Canada,White,Andre-Grasset,"Montreal, Quebec",Canada,0,NO,1,NO
Falcons,90,"Maponga, Stansly",Stansly,Maponga,DE,74,265,23,3/5/91,2,TCU,586685,Harare,Zimbabwe,Black,Hebron,"Carrollton, TX",Texas,0,NO,1,NO
Cowboys,21,"Randle, Joseph",Joseph,Randle,RB,72,198,22,12/29/91,2,Oklahoma State,587205,"Wichita, KS",Kansas,Black,Wihcita Southeast,"Wichita, KS",Kansas,0,NO,1,NO
Texans,97,"Pagan, Jeoffrey",Jeoffrey,Pagan,DE,75,310,21,6/10/93,0,Alabama,587205,"Asheville, NC",North Carolina,Black,Asheville,"Asheville, NC",North Carolina,0,NO,1,NO
Chiefs,73,"Fulton, Zach",Zach,Fulton,G,77,323,23,9/23/91,0,Tennessee,587305,"Homewood, IL",Illinois,Black,Homewood-Flossmoor,"Homewood, IL",Illinois,0,NO,1,NO
Rams,32,"McGee, Brandon",Brandon,McGee,CB,71,193,23,12/11/90,2,Miami (FL),587790,"Miami, FL",Florida,Black,Plantation,"Plantation, FL",Florida,0,NO,1,NO
Panthers,56,"Klein, A.J.",A.J.,Klein,LB,73,245,23,7/30/91,2,Iowa State,587825,"Appleton, WI",Wisconsin,White,Kimberly,"Kimberly, WI",Wisconsin,0,NO,1,NO
Buccaneers,96,"Means, Steven",Steven,Means,DE,75,260,24,12/5/89,2,Buffalo,587938,"Buffalo, NY",New York,Black,Cleveland,"Buffalo, NY",New York,0,NO,1,NO
Broncos,93,"Smith, Quanterus",Quanterus,Smith,DE,77,255,24,11/26/89,2,Western Kentucky,588000,"Decatur, GA",Georgia,Black,Grayson,"Loganville, GA",Georgia,0,NO,1,NO
Chargers,23,"Williams, Steve",Steve,Williams,CB,70,185,23,3/7/91,2,California,588200,"Dallas, TX",Texas,Black,"Skyline (Dallas, TX)","Dallas, TX",Texas,0,NO,1,NO
Saints,84,"Stills, Kenny",Kenny,Stills,WR,72,190,22,4/22/92,2,Oklahoma,588613,"Encinitas, CA",California,Black,La Costa Canyon,"Carlsbad, CA",California,0,NO,1,NO
Bills,36,"Meeks, Jonathan",Jonathan,Meeks,S,72,209,24,11/8/89,2,Clemson,589500,"Rock Hill, SC",South Carolina,Black,Rock Hill,"Rock Hill, SC",South Carolina,0,NO,1,NO
Cowboys,79,"Edwards, Lavar",Lavar,Edwards,DE,76,278,24,3/29/90,2,LSU,589625,"Gretna, LA",Louisiana,Black,Desire Street Academy,"Gretna, LA",Louisiana,0,NO,2,NO
Jets,75,"Aboushi, Oday",Oday,Aboushi,G,77,308,23,6/5/91,2,Virginia,589750,"New York, NY",New York,Other,Xaverian,"New York, NY",New York,0,NO,1,NO
Cardinals,30,"Taylor, Stepfan",Stepfan,Taylor,RB,69,214,23,6/9/91,2,Stanford,590125,"Arlington, TX",Texas,Black,Manfield,"Mansfield, TX",Texas,0,NO,1,NO
Colts,94,"Hughes, Montori",Montori,Hughes,DT,76,350,24,8/25/90,2,Tennessee-Martin,590493,"Murfreesboro, TN",Tennessee,Black,Siegel,"Murfreesboro, TN",Tennessee,0,NO,1,NO
Giants,59,"Kennard, Devon",Devon,Kennard,LB,75,251,23,6/24/91,0,USC,591140,"Phoenix, AZ",Arizona,Black,Desert Vista,"Phoenix, AZ",Arizona,0,NO,1,NO
Ravens,64,"Urschel, John",John,Urschel,G,75,308,23,6/24/91,0,Penn State,591140,"Winnipeg, Manitoba, Canada",Canada,Black,Canisius,"Buffalo, NY",New York,0,NO,1,NO
Steelers,67,"Johnson, Wesley",Wesley,Johnson,T,77,297,23,1/9/91,0,Vanderbilt,591140,"Nashville, TN",Tennessee,White,Montgomery Bell,"Nashville, TN",Tennessee,0,NO,1,NO
Seahawks,27,"Simon, Tharold",Tharold,Simon,CB,75,202,23,3/6/91,2,LSU,591725,"Eunice, LA",Louisiana,Black,Eunice,"Eunice, LA",Louisiana,0,1,1,NO
Eagles,28,"Wolff, Earl",Earl,Wolff,S,71,210,24,12/15/89,2,North Carolina State,593000,"Fayetteville, NC",North Carolina,Black,Hoke County,"Raeford, NC",North Carolina,0,NO,1,NO
Jaguars,16,"Robinson, Denard",Denard,Robinson,WR,72,197,24,9/22/90,2,Michigan,593403,"Deerfield Beach, FL",Florida,Black,Deerfield Beach,"Deerfield Beach, FL",Florida,0,NO,1,NO
Dolphins,57,"Tripp, Jordan",Jordan,Tripp,LB,75,240,23,4/3/91,0,Montana,595700,"Missoula, MT",Montana,White,Big Sky,"Missoula, MT",Montana,0,NO,1,NO
Saints,56,"Powell, Ronald",Ronald,Powell,LB,75,237,23,5/14/91,0,Florida,597215,"Moreno Valley, CA",California,Black,Rancho Verde,"Moreno Valley, CA",California,0,NO,1,NO
Saints,43,"Sunseri, Vinnie",Vinnie,Sunseri,S,72,210,21,9/27/93,0,Alabama,599125,"Pittsburgh, PA",Pennsylvania,White,Marvin Ridge,"Waxhaw, NC",North Carolina,0,NO,1,NO
Colts,91,"Newsome, Jonathan",Jonathan,Newsome,DE,75,251,23,1/22/91,0,Ball State,599527,"Cleveland, OH",Ohio,Black,Glenville,"Cleveland, OH",Ohio,0,NO,1,NO
Chargers,92,"Carrethers, Ryan",Ryan,Carrethers,DT,73,333,23,2/26/91,0,Arkansas State,599633,"Nashville, TN",Tennessee,Black,Brentwood Academy,"Brentwood, TN",Tennessee,0,NO,1,NO
Cowboys,44,"Clutts, Tyler",Tyler,Clutts,FB,74,254,29,11/9/84,4,Fresno State,600000,"Vallejo, CA",California,White,Clovis,"Clovis, CA",California,0,NO,5,NO
Jets,17,"Salas, Greg",Greg,Salas,WR,74,210,26,8/25/88,4,Hawaii,600000,"Chino, CA",California,Hispanic,Chino,"Chino, CA",California,0,NO,4,NO
Cowboys,26,"Moore, Sterling",Sterling,Moore,CB,70,200,24,2/3/90,4,Southern Methodist,600000,"Antioch, CA",California,Other,Deer Valley,"Antioch, CA",California,0,NO,3,NO
Raiders,18,"Holmes, Andre",Andre,Holmes,WR,76,210,26,6/16/88,3,Hillsdale,600000,"Bartlett, IL",Illinois,Black,Conant,"Bartlett, IL",Illinois,0,NO,4,NO
Packers,16,"Tolzien, Scott",Scott,Tolzien,QB,74,213,27,9/4/87,4,Wisconsin,600000,"Rolling Meadows, IL",Illinois,White,William Fremd,"Palatine, IL",Illinois,0,NO,3,NO
Texans,52,"Tarpinian, Jeff",Jeff,Tarpinian,LB,75,240,26,10/16/87,4,Iowa,600000,"Omaha, NE",Nebraska,White,Millard North,"Omaha, NE",Nebraska,0,NO,3,NO
Chargers,20,"Butler, Crezdon",Crezdon,Butler,CB,73,191,27,5/26/87,5,Clemson,600000,"Asheville, NC",North Carolina,Black,Asheville,"Asheville, NC",North Carolina,0,NO,6,NO
Chargers,69,"Smith, Willie",Willie,Smith,T,77,310,27,11/13/86,4,East Carolina,600000,"Smithfield, NC",North Carolina,Black,North Johnston,"Kenly, NC",North Carolina,0,NO,3,NO
Cardinals,53,"Keiser, Thomas",Thomas,Keiser,LB,76,260,25,3/28/89,4,Stanford,600000,"Hollidaysburg, PA",Pennsylvania,White,North Allegheny Senior,"Wexford, PA",Pennsylvania,0,NO,3,NO
Chiefs,38,"Parker, Ron",Ron,Parker,CB,72,206,27,8/17/87,3,Newberry,600000,"St. Helena Island, SC",South Carolina,Black,Beaufort,"Beaufort, SC",South Carolina,0,NO,4,NO
Jaguars,66,"McClendon, Jacques",Jacques,McClendon,G,75,324,26,12/10/87,3,Tennessee,600000,"Cleveland, TN",Tennessee,Black,The Baylor School,"Chattanooga, TN",Tennessee,0,NO,5,NO
Jets,86,"Nelson, David",David,Nelson,WR,77,215,27,11/7/86,5,Florida,600000,"Dallas, TX",Texas,Other,S.H. Rider,"Wichita Falls, TX",Texas,0,NO,3,NO
Raiders,56,"Burris, Miles",Miles,Burris,LB,74,240,26,6/27/88,2,San Diego State,600146,"Orangevale, CA",California,White,Granite Bay,"Granite Bay, CA",California,0,NO,1,NO
Vikings,85,"Ellison, Rhett",Rhett,Ellison,TE,77,250,25,10/3/88,3,USC,600146,"Foster City, CA",California,White,Saint Francis,"Mountain View, CA",California,0,NO,1,NO
Giants,75,"Mosley, Brandon",Brandon,Mosley,G,77,318,25,12/21/88,3,Auburn,600146,"Jefferson, GA",Georgia,White,Jefferson,"Jefferson, GA",Georgia,0,NO,1,NO
Chiefs,7,"Murray, Aaron",Aaron,Murray,QB,73,210,23,11/10/90,0,Georgia,600606,"Tampa, FL",Florida,White,Plant,"Tampa, FL",Florida,0,NO,1,NO
Packers,63,"Linsley, Corey",Corey,Linsley,C,75,301,23,7/27/91,0,Ohio State,601250,"Youngstown, OH",Ohio,White,Boardman,"Boardman, OH",Ohio,0,NO,1,NO
Cardinals,72,"Stinson, Ed",Ed,Stinson,DE,75,287,24,2/15/90,0,Alabama,601685,"Homestead, FL",Florida,Black,South Dade,"Homestead, FL",Florida,0,NO,1,NO
Jaguars,98,"Smith, Chris",Chris,Smith,DE,73,266,22,2/11/92,0,Arkansas,601813,"Mount Ulla, NC",North Carolina,Black,West Rowan,"Mount Ulla, NC",North Carolina,0,NO,1,NO
Lions,97,"Reid, Caraun",Caraun,Reid,DT,74,306,22,11/23/91,0,Princeton,602220,"New York, NY",New York,Black,Mount Saint Michael Academy,"New York, NY",New York,0,NO,1,NO
Broncos,57,"Barrow, Lamin",Lamin,Barrow,LB,73,229,23,11/29/90,0,LSU,602790,"Marrero, LA",Louisiana,Black,Merrero John Ehret,"Marrero, LA",Louisiana,0,NO,1,NO
Bills,68,"Richardson, Cyril",Cyril,Richardson,G,77,343,23,12/27/90,0,Baylor,603000,"New Orleans, LA",Louisiana,Black,North Crowley,"Fort Worth, TX",Texas,0,NO,1,NO
Giants,34,"Berhe, Nat",Nat,Berhe,S,72,194,23,6/6/91,0,San Diego State,603200,"Fontana, CA",California,Black,Colton,"Colton, CA",California,0,NO,1,NO
Titans,54,"Williamson, Avery",Avery,Williamson,LB,73,246,22,3/9/92,0,Kentucky,603613,"Cleveland, OH",Ohio,Black,Milan,Milan,Tennessee,0,NO,1,NO
